date,time_et,event_type,ticker,details
2026-01-14,08:30,cpi,,CPI Release December 2025
2026-02-11,08:30,cpi,,CPI Release January 2026
2026-03-11,08:30,cpi,,CPI Release February 2026
2026-04-15,08:30,cpi,,CPI Release March 2026
2026-05-13,08:30,cpi,,CPI Release April 2026
2026-06-10,08:30,cpi,,CPI Release May 2026
2026-07-15,08:30,cpi,,CPI Release June 2026
2026-08-12,08:30,cpi,,CPI Release July 2026
2026-09-10,08:30,cpi,,CPI Release August 2026
2026-10-14,08:30,cpi,,CPI Release September 2026
2026-11-12,08:30,cpi,,CPI Release October 2026
2026-12-10,08:30,cpi,,CPI Release November 2026
