cost_bps,horizon,n_fires,net_signal_bps,net_pool_bps,net_edge_bps,z,p_value,beat_pool_median,dead,breakeven_bps,dies_realistic
0.0,5,477293,14.996427501333699,13.549684798998092,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,False,14.996427501333699,True
5.0,5,477293,9.996427501333699,8.549684798998092,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,False,14.996427501333699,True
10.0,5,477293,4.9964275013337,3.5496847989980913,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,False,14.996427501333699,True
15.0,5,477293,-0.003572498666300824,-1.450315201001909,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,True,14.996427501333699,True
20.0,5,477293,-5.003572498666301,-6.450315201001909,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,True,14.996427501333699,True
30.0,5,477293,-15.003572498666301,-16.45031520100191,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,True,14.996427501333699,True
50.0,5,477293,-35.0035724986663,-36.450315201001914,1.446742702335608,1.4564432696832952,0.07796101949025487,0.5097707278338462,True,14.996427501333699,True
0.0,10,477126,33.3088946035292,27.646753943329383,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,False,33.3088946035292,False
5.0,10,477126,28.3088946035292,22.64675394332938,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,False,33.3088946035292,False
10.0,10,477126,23.3088946035292,17.64675394332938,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,False,33.3088946035292,False
15.0,10,477126,18.3088946035292,12.646753943329381,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,False,33.3088946035292,False
20.0,10,477126,13.308894603529199,7.646753943329381,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,False,33.3088946035292,False
30.0,10,477126,3.3088946035291986,-2.3532460566706193,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,False,33.3088946035292,False
50.0,10,477126,-16.691105396470803,-22.35324605667062,5.662140660199818,4.062866955195102,0.0004997501249375312,0.512799553996219,True,33.3088946035292,False
0.0,21,475430,106.53038854646694,88.25188827942321,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
5.0,21,475430,101.53038854646694,83.25188827942321,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
10.0,21,475430,96.53038854646692,78.25188827942323,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
15.0,21,475430,91.53038854646694,73.25188827942323,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
20.0,21,475430,86.53038854646694,68.25188827942321,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
30.0,21,475430,76.53038854646694,58.25188827942322,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
50.0,21,475430,56.53038854646694,38.25188827942322,18.27850026704372,9.119695337352946,0.0004997501249375312,0.5157962265738384,False,106.53038854646694,False
