year,horizon,n_fires,increment,increment_bps,z,p_value,beat_pool_median,year_flagged,flag_reason
2012,5,7025,-0.0008935310060626529,-8.935310060626529,-1.614110046665378,0.9465267366316842,0.4908185053380783,True,21d p>0.05
2012,10,7025,0.0008554376043266574,8.554376043266574,1.1134165319504232,0.12193903048475763,0.4929537366548043,True,21d p>0.05
2012,21,7025,0.001035902866114967,10.35902866114967,0.9104561639750897,0.18590704647676162,0.5051957295373666,True,21d p>0.05
2013,5,15424,0.0015244660216228848,15.244660216228848,4.1590799829594225,0.0004997501249375312,0.5158195020746889,False,
2013,10,15424,0.002716075018145056,27.16075018145056,5.198099428452285,0.0004997501249375312,0.5177645228215768,False,
2013,21,15424,0.0028729461977274467,28.729461977274468,3.6110539567776176,0.0004997501249375312,0.5125129668049793,False,
2014,5,27174,0.000757790805327127,7.57790805327127,2.529656159146235,0.0079960019990005,0.5080223743284021,False,
2014,10,27174,0.0016907076300962422,16.907076300962423,3.995530597468068,0.0004997501249375312,0.5037535879885184,False,
2014,21,27174,0.00208173327301602,20.8173327301602,3.4004209059365644,0.0004997501249375312,0.5094943696180172,False,
2015,5,37619,-0.0001786695197709869,-1.7866951977098688,-0.6313277269475734,0.7386306846576711,0.5050639304606714,False,
2015,10,37619,0.0008514487235987064,8.514487235987064,2.2293624510613697,0.01199400299850075,0.5138626757755389,False,
2015,21,37619,0.0021951512132024203,21.951512132024202,4.017888980277533,0.0004997501249375312,0.5147398920758127,False,
2016,5,27862,0.0005877910074756701,5.877910074756701,1.502855389473189,0.06546726636681659,0.5087574474194243,True,21d p>0.05
2016,10,27850,-0.0006168651248823018,-6.168651248823019,-1.1746436763633554,0.8835582208895553,0.5035547576301616,True,21d p>0.05
2016,21,27822,0.0005344936463583146,5.344936463583146,0.6966414170970373,0.23888055972013994,0.5078355258428582,True,21d p>0.05
2017,5,18913,-0.0006838894947051228,-6.838894947051228,-1.931651604317519,0.968015992003998,0.49394596309416805,True,21d p>0.05;21d beat<50%
2017,10,18900,0.0007249666835063328,7.249666835063327,1.3906359744827002,0.08195902048975512,0.5006349206349207,True,21d p>0.05;21d beat<50%
2017,21,18860,0.0004516371291212124,4.516371291212124,0.5895920250612648,0.2863568215892054,0.49803817603393424,True,21d p>0.05;21d beat<50%
2018,5,51665,0.0005212859895566842,5.212859895566842,2.133016545952531,0.015992003998001,0.5131520371624891,False,
2018,10,51641,0.0007531449477676249,7.531449477676249,2.1854365236123745,0.015492253873063468,0.512519122402742,False,
2018,21,51564,0.0014664371796935449,14.664371796935448,3.0251460497965392,0.001999000499750125,0.5077961368396555,False,
2019,5,26743,0.002348220863583294,23.48220863583294,6.845135834415003,0.0004997501249375312,0.525371125154246,False,
2019,10,26725,0.002755606724883205,27.55606724883205,5.6064630528695405,0.0004997501249375312,0.5223947614593077,False,
2019,21,26703,0.00880015547172916,88.0015547172916,12.039405045334485,0.0004997501249375312,0.5415121896416133,False,
2020,5,53276,-0.0031625902496473304,-31.625902496473305,-6.46846668551619,1.0,0.49690292063968766,True,21d increment<0;21d p>0.05
2020,10,53258,-0.004136700396430951,-41.367003964309504,-6.861154958554938,1.0,0.5064966765556348,True,21d increment<0;21d p>0.05
2020,21,53215,-0.0041911867823182375,-41.91186782318238,-5.0572557344516085,1.0,0.5076764070280936,True,21d increment<0;21d p>0.05
2021,5,13667,0.0013873669481370534,13.873669481370534,2.414636901291,0.0079960019990005,0.5412307016902027,False,
2021,10,13659,0.003034460730849628,30.34460730849628,3.8119512713110555,0.0004997501249375312,0.5433047807306538,False,
2021,21,13642,0.010907707562880982,109.07707562880982,9.54196442276305,0.0004997501249375312,0.5639935493329424,False,
2022,5,56838,0.0014606412501613967,14.606412501613967,4.787240667996175,0.0004997501249375312,0.5159048523874873,True,21d p>0.05
2022,10,56823,0.0012634799333206131,12.634799333206132,2.95853549993797,0.001999000499750125,0.5143515829857628,True,21d p>0.05
2022,21,56774,0.00024274216659639965,2.4274216659639967,0.4023007881286611,0.3458270864567716,0.5058477472082291,True,21d p>0.05
2023,5,19577,-0.00019968859447986112,-1.9968859447986111,-0.4209461145776665,0.6626686656671664,0.4987996117893446,False,
2023,10,19560,0.002722507398498331,27.22507398498331,3.9017893525861207,0.0004997501249375312,0.5121165644171779,False,
2023,21,19520,0.008297533099339359,82.97533099339358,8.471382368928401,0.0004997501249375312,0.5295594262295082,False,
2024,5,45812,0.0006086320108823614,6.086320108823614,1.8356126063455918,0.02948525737131434,0.5216537151837947,False,
2024,10,45803,0.001623437208546439,16.23437208546439,3.366595802197353,0.0009995002498750624,0.5251184420234483,False,
2024,21,45765,0.0023253562051862263,23.253562051862264,3.380845790588191,0.0009995002498750624,0.532634109035289,False,
2025,5,54129,0.0001377994545646061,1.377994545646061,0.42967412866345917,0.33233383308345826,0.507454414454359,False,
2025,10,54105,0.0008615709312541388,8.615709312541387,1.9226496109565592,0.028985507246376812,0.5149801312263192,False,
2025,21,54042,0.00343337612181166,34.3337612181166,5.150530120684253,0.0004997501249375312,0.5166722179045927,False,
2026,5,21569,-0.0009756548625819777,-9.756548625819777,-1.9608806216066925,0.9765117441279361,0.49598961472483655,True,21d increment<0;21d p>0.05
2026,10,21560,-0.0013488135519965317,-13.488135519965317,-1.7791332917658684,0.9645177411294353,0.49777365491651204,True,21d increment<0;21d p>0.05
2026,21,20281,-0.0024807514522456886,-24.807514522456884,-2.130678102605898,0.9825087456271864,0.5094423351905725,True,21d increment<0;21d p>0.05
