pass,horizon,n_fires,increment,random_mean,gross_per_trade,z,p_value,beat_pool_median,increment_bps,random_mean_bps,gross_per_trade_bps
1_HEADLINE_total_full,5,477293,0.0001446742702335608,0.0013549684798998091,0.00149964275013337,1.4564432696832952,0.07796101949025487,0.5097707278338462,1.446742702335608,13.549684798998092,14.996427501333699
1_HEADLINE_total_full,10,477126,0.0005662140660199818,0.002764675394332938,0.00333088946035292,4.062866955195102,0.0004997501249375312,0.512799553996219,5.662140660199818,27.646753943329383,33.3088946035292
1_HEADLINE_total_full,21,475430,0.001827850026704372,0.008825188827942322,0.010653038854646694,9.119695337352946,0.0004997501249375312,0.5157962265738384,18.27850026704372,88.25188827942321,106.53038854646694
2_SURVIVORSHIP_total_active,5,400562,0.0002572169872558565,0.001508603087664032,0.0017658200749198884,2.306014005581065,0.01249375312343828,0.5098911030002846,2.572169872558565,15.086030876640319,17.658200749198883
2_SURVIVORSHIP_total_active,10,400544,0.0006424726844711493,0.0030328153539106264,0.0036752880383817757,4.312461093987451,0.0004997501249375312,0.5133443516817129,6.424726844711493,30.328153539106264,36.752880383817754
2_SURVIVORSHIP_total_active,21,399266,0.0019365582188043233,0.009314624012208015,0.011251182231012338,8.941843395114923,0.0004997501249375312,0.5165503699288194,19.365582188043234,93.14624012208014,112.51182231012338
3_BASIS_split_full,5,477293,0.00018163897200836488,0.001177760381893965,0.0013593993539023298,1.826953501016715,0.03648175912043978,0.5103489889858012,1.8163897200836487,11.77760381893965,13.593993539023298
3_BASIS_split_full,10,477126,0.0005812186950707138,0.002401467546361869,0.0029826862414325827,4.168377288059905,0.0004997501249375312,0.5134660446087617,5.8121869507071375,24.01467546361869,29.826862414325827
3_BASIS_split_full,21,475430,0.001759299743708016,0.008030016881528173,0.009789316625236189,8.76697481967157,0.0004997501249375312,0.5159140146814463,17.59299743708016,80.30016881528172,97.89316625236188
4_CONFOUND_total_full_highIV,5,477293,0.00020971531518680945,0.0012899274349465605,0.00149964275013337,1.7809524848955665,0.037481259370314844,0.5092574163040313,2.0971531518680946,12.899274349465605,14.996427501333699
4_CONFOUND_total_full_highIV,10,477126,0.0006642454816835749,0.002666643978669345,0.00333088946035292,4.1217848839049465,0.0004997501249375312,0.5117599963112469,6.642454816835749,26.66643978669345,33.3088946035292
4_CONFOUND_total_full_highIV,21,475430,0.0019276003633467813,0.008725438491299913,0.010653038854646694,8.764547595590564,0.0004997501249375312,0.5146498958837263,19.276003633467813,87.25438491299913,106.53038854646694
